dataset,model,mean_metric,split,max_time,best,fit_time,inference_time,num_trials
mfeat-morphological,MLP,0.962689995765686,1,3600,"{'dropout_rate': 0, 'hidden_size': 32, 'learning_rate': 0.0009714521592714265, 'n_epochs': 1000, 'n_layers': 2, 'weight_decay': 0.0022969139402072266}",10.7280912399292,0.0005712509155273,174.0
mfeat-morphological,MLP,0.9667342305183412,2,3600,"{'dropout_rate': 0, 'hidden_size': 256, 'learning_rate': 0.00020392031785762587, 'n_epochs': 1000, 'n_layers': 3, 'weight_decay': 0.0071084027287260125}",21.222427129745483,0.0066213607788085,142.0
mfeat-morphological,MLP,0.9659716486930848,3,3600,"{'dropout_rate': 0, 'hidden_size': 64, 'learning_rate': 0.0008806605182791276, 'n_epochs': 1000, 'n_layers': 3, 'weight_decay': 0.0001456688981369384}",12.627519130706789,0.0009045600891113,163.0
mfeat-morphological,MLP,0.9647010564804076,4,3600,"{'dropout_rate': 0.3, 'hidden_size': 512, 'learning_rate': 0.0011327447803303181, 'n_epochs': 1000, 'n_layers': 1, 'weight_decay': 0.000716116642771475}",13.549944400787354,0.0014429092407226,147.0
mfeat-morphological,MLP,0.9691014885902404,5,3600,"{'dropout_rate': 0.1, 'hidden_size': 128, 'learning_rate': 0.0013608883522645096, 'n_epochs': 1000, 'n_layers': 2, 'weight_decay': 0.00011628087107955582}",12.733912706375122,0.00142502784729,148.0
mfeat-zernike,MLP,0.9819117188453674,1,3600,"{'dropout_rate': 0, 'hidden_size': 512, 'learning_rate': 0.0011607859616822667, 'n_epochs': 100, 'n_layers': 2, 'weight_decay': 1.140638340077644e-05}",3.0702850818634033,0.0101211071014404,168.0
mfeat-zernike,MLP,0.9803295731544496,2,3600,"{'dropout_rate': 0.1, 'hidden_size': 64, 'learning_rate': 0.000665141950865108, 'n_epochs': 1000, 'n_layers': 2, 'weight_decay': 0.0008353633531130627}",11.535809516906738,0.0011835098266601,146.0
mfeat-zernike,MLP,0.981726050376892,3,3600,"{'dropout_rate': 0.1, 'hidden_size': 512, 'learning_rate': 5.490184514661017e-05, 'n_epochs': 1000, 'n_layers': 3, 'weight_decay': 0.0001353213095078059}",49.34625196456909,0.0147006511688232,161.0
mfeat-zernike,MLP,0.981558620929718,4,3600,"{'dropout_rate': 0.3, 'hidden_size': 128, 'learning_rate': 0.0004732143014849767, 'n_epochs': 1000, 'n_layers': 2, 'weight_decay': 0.0003796474630472178}",13.018585681915283,0.0017571449279785,148.0
mfeat-zernike,MLP,0.9809330105781556,5,3600,"{'dropout_rate': 0.3, 'hidden_size': 512, 'learning_rate': 6.62536781963547e-05, 'n_epochs': 1000, 'n_layers': 3, 'weight_decay': 1.1949652487035263e-05}",48.68595027923584,0.0164403915405273,152.0
cmc,MLP,0.6624851822853088,1,3600,"{'dropout_rate': 0, 'hidden_size': 16, 'learning_rate': 0.006542379977080105, 'n_epochs': 100, 'n_layers': 3, 'weight_decay': 2.7719794482855884e-05}",0.7146785259246826,0.000533103942871,222.0
cmc,MLP,0.6708875298500061,2,3600,"{'dropout_rate': 0.1, 'hidden_size': 32, 'learning_rate': 0.0001806681670062018, 'n_epochs': 1000, 'n_layers': 2, 'weight_decay': 0.00010612630743324197}",7.8043622970581055,0.0006475448608398,226.0
cmc,MLP,0.6646886467933655,3,3600,"{'dropout_rate': 0, 'hidden_size': 16, 'learning_rate': 0.000472119479301816, 'n_epochs': 1000, 'n_layers': 1, 'weight_decay': 0.0018695085453561892}",7.4388673305511475,0.0004825592041015,188.0
cmc,MLP,0.6572582721710205,4,3600,"{'dropout_rate': 0.1, 'hidden_size': 32, 'learning_rate': 0.006635181019655467, 'n_epochs': 100, 'n_layers': 1, 'weight_decay': 0.002610536054012046}",1.0771172046661377,0.0005350112915039,193.0
cmc,MLP,0.6688588261604309,5,3600,"{'dropout_rate': 0, 'hidden_size': 64, 'learning_rate': 0.0023472806371396897, 'n_epochs': 100, 'n_layers': 1, 'weight_decay': 0.003305740975007609}",0.6744077205657959,0.000537633895874,216.0
credit-approval,MLP,0.9348275661468506,1,3600,"{'dropout_rate': 0, 'hidden_size': 64, 'learning_rate': 3.530328584546469e-05, 'n_epochs': 1000, 'n_layers': 2, 'weight_decay': 0.00011942312572428051}",4.605328798294067,0.0005114078521728,358.0
credit-approval,MLP,0.92565655708313,2,3600,"{'dropout_rate': 0.3, 'hidden_size': 256, 'learning_rate': 0.0002020780696336206, 'n_epochs': 100, 'n_layers': 2, 'weight_decay': 0.00017752051683362906}",0.8694043159484863,0.0013377666473388,377.0
credit-approval,MLP,0.9239310622215272,3,3600,"{'dropout_rate': 0, 'hidden_size': 64, 'learning_rate': 3.530328584546469e-05, 'n_epochs': 1000, 'n_layers': 2, 'weight_decay': 0.00011942312572428051}",4.637525320053101,0.0005295276641845,358.0
credit-approval,MLP,0.9261780977249146,4,3600,"{'dropout_rate': 0.1, 'hidden_size': 16, 'learning_rate': 8.757396092377467e-05, 'n_epochs': 1000, 'n_layers': 2, 'weight_decay': 0.00014675336115830393}",6.052265644073486,0.0005538463592529,298.0
credit-approval,MLP,0.9081432223320008,5,3600,"{'dropout_rate': 0, 'hidden_size': 128, 'learning_rate': 0.0024095099260682848, 'n_epochs': 10, 'n_layers': 3, 'weight_decay': 5.3511372035426605e-05}",0.0571832656860351,0.0008032321929931,329.0
credit-g,MLP,0.7756904363632202,1,3600,"{'dropout_rate': 0.3, 'hidden_size': 32, 'learning_rate': 9.786004497732517e-05, 'n_epochs': 1000, 'n_layers': 2, 'weight_decay': 0.0028820659113099638}",5.5583813190460205,0.0006418228149414,281.0
credit-g,MLP,0.7595208883285522,2,3600,"{'dropout_rate': 0, 'hidden_size': 256, 'learning_rate': 0.000162657520882359, 'n_epochs': 100, 'n_layers': 2, 'weight_decay': 0.00016609539466880743}",0.8504996299743652,0.0015532970428466,264.0
credit-g,MLP,0.744188666343689,3,3600,"{'dropout_rate': 0.1, 'hidden_size': 128, 'learning_rate': 0.0019125187694284667, 'n_epochs': 100, 'n_layers': 1, 'weight_decay': 7.816065757563988e-05}",0.5131549835205078,0.0006279945373535,226.0
